coordinator_1  | 2024-02-27 10:25:10,055.055 WARNING:   Worker: 4 | Completed snapshot: 6 | started at: 1709029510032.615 | ended at: 1709029510053.4736 | took: 20.858642578125ms
coordinator_1  | 2024-02-27 10:25:10,055.055 WARNING:   Worker: 2 | Completed snapshot: 6 | started at: 1709029510032.542 | ended at: 1709029510053.528 | took: 20.986083984375ms
coordinator_1  | 2024-02-27 10:25:10,055.055 WARNING:   Worker: 3 | Completed snapshot: 6 | started at: 1709029510032.5579 | ended at: 1709029510053.7087 | took: 21.15087890625ms
coordinator_1  | 2024-02-27 10:25:11,060.060 WARNING:   Worker: 3 | Completed snapshot: 7 | started at: 1709029511037.8452 | ended at: 1709029511058.379 | took: 20.53369140625ms
coordinator_1  | 2024-02-27 10:25:11,060.060 WARNING:   Worker: 1 | Completed snapshot: 7 | started at: 1709029511037.8064 | ended at: 1709029511058.1885 | took: 20.382080078125ms
coordinator_1  | 2024-02-27 10:25:11,060.060 WARNING:   Worker: 4 | Completed snapshot: 7 | started at: 1709029511037.866 | ended at: 1709029511058.2463 | took: 20.38037109375ms
coordinator_1  | 2024-02-27 10:25:11,060.060 WARNING:   Worker: 2 | Completed snapshot: 7 | started at: 1709029511037.8118 | ended at: 1709029511058.1885 | took: 20.376708984375ms
coordinator_1  | 2024-02-27 10:25:12,060.060 WARNING:   Worker: 4 | Completed snapshot: 8 | started at: 1709029512038.3455 | ended at: 1709029512057.8333 | took: 19.48779296875ms
coordinator_1  | 2024-02-27 10:25:12,060.060 WARNING:   Worker: 3 | Completed snapshot: 8 | started at: 1709029512038.1204 | ended at: 1709029512057.8398 | took: 19.719482421875ms
coordinator_1  | 2024-02-27 10:25:12,060.060 WARNING:   Worker: 1 | Completed snapshot: 8 | started at: 1709029512038.271 | ended at: 1709029512057.9246 | took: 19.653564453125ms
coordinator_1  | 2024-02-27 10:25:12,060.060 WARNING:   Worker: 2 | Completed snapshot: 8 | started at: 1709029512038.129 | ended at: 1709029512057.8801 | took: 19.751220703125ms
coordinator_1  | 2024-02-27 10:25:13,068.068 WARNING:   Worker: 4 | Completed snapshot: 9 | started at: 1709029513047.5435 | ended at: 1709029513067.1133 | took: 19.56982421875ms
coordinator_1  | 2024-02-27 10:25:13,069.069 WARNING:   Worker: 1 | Completed snapshot: 9 | started at: 1709029513047.4358 | ended at: 1709029513067.1375 | took: 19.70166015625ms
coordinator_1  | 2024-02-27 10:25:13,070.070 WARNING:   Worker: 3 | Completed snapshot: 9 | started at: 1709029513047.2986 | ended at: 1709029513067.7656 | took: 20.467041015625ms
coordinator_1  | 2024-02-27 10:25:13,070.070 WARNING:   Worker: 2 | Completed snapshot: 9 | started at: 1709029513047.3289 | ended at: 1709029513067.483 | took: 20.154052734375ms
coordinator_1  | 2024-02-27 10:25:14,068.068 WARNING:   Worker: 3 | Completed snapshot: 10 | started at: 1709029514047.5422 | ended at: 1709029514066.768 | took: 19.225830078125ms
coordinator_1  | 2024-02-27 10:25:14,068.068 WARNING:   Worker: 2 | Completed snapshot: 10 | started at: 1709029514047.5168 | ended at: 1709029514066.6882 | took: 19.17138671875ms
coordinator_1  | 2024-02-27 10:25:14,068.068 WARNING:   Worker: 1 | Completed snapshot: 10 | started at: 1709029514047.5786 | ended at: 1709029514066.7368 | took: 19.158203125ms
coordinator_1  | 2024-02-27 10:25:14,068.068 WARNING:   Worker: 4 | Completed snapshot: 10 | started at: 1709029514047.6292 | ended at: 1709029514066.7368 | took: 19.107666015625ms
coordinator_1  | 2024-02-27 10:25:15,077.077 WARNING:   Worker: 1 | Completed snapshot: 11 | started at: 1709029515054.2522 | ended at: 1709029515075.6492 | took: 21.39697265625ms
coordinator_1  | 2024-02-27 10:25:15,077.077 WARNING:   Worker: 2 | Completed snapshot: 11 | started at: 1709029515054.0908 | ended at: 1709029515075.3494 | took: 21.258544921875ms
