coordinator_1  | 2023-03-31T10:00:59.473108+00:00.473 WARNING:  Worker: 3 | Completed snapshot: 11 | started at: 1680256856818.8005 | ended at: 1680256859471.6492 | took: 2652.8486328125ms
coordinator_1  | 2023-03-31T10:01:03.469047+00:00.469 WARNING:  Worker: 3 | Completed snapshot: 12 | started at: 1680256861280.9858 | ended at: 1680256863467.9265 | took: 2186.940673828125ms
coordinator_1  | 2023-03-31T10:01:03.503127+00:00.503 WARNING:  Worker: 2 | Completed snapshot: 12 | started at: 1680256861280.9622 | ended at: 1680256863502.1643 | took: 2221.2021484375ms
coordinator_1  | 2023-03-31T10:01:03.587019+00:00.587 WARNING:  Worker: 1 | Completed snapshot: 12 | started at: 1680256861280.9253 | ended at: 1680256863585.8718 | took: 2304.946533203125ms
coordinator_1  | 2023-03-31T10:01:03.606359+00:00.606 WARNING:  Worker: 4 | Completed snapshot: 12 | started at: 1680256861280.9658 | ended at: 1680256863605.3237 | took: 2324.35791015625ms
coordinator_1  | 2023-03-31T10:01:07.546171+00:00.546 WARNING:  Worker: 4 | Completed snapshot: 13 | started at: 1680256865299.1384 | ended at: 1680256867544.836 | took: 2245.697509765625ms
coordinator_1  | 2023-03-31T10:01:07.563325+00:00.563 WARNING:  Worker: 3 | Completed snapshot: 13 | started at: 1680256865299.15 | ended at: 1680256867562.1003 | took: 2262.950439453125ms
coordinator_1  | 2023-03-31T10:01:07.658334+00:00.658 WARNING:  Worker: 2 | Completed snapshot: 13 | started at: 1680256865299.1763 | ended at: 1680256867657.1616 | took: 2357.9853515625ms
coordinator_1  | 2023-03-31T10:01:07.790082+00:00.790 WARNING:  Worker: 1 | Completed snapshot: 13 | started at: 1680256865299.1125 | ended at: 1680256867788.9512 | took: 2489.838623046875ms
coordinator_1  | 2023-03-31T10:01:11.859935+00:00.859 WARNING:  Worker: 3 | Completed snapshot: 14 | started at: 1680256869590.9585 | ended at: 1680256871858.035 | took: 2267.076416015625ms
coordinator_1  | 2023-03-31T10:01:11.863408+00:00.863 WARNING:  Worker: 2 | Completed snapshot: 14 | started at: 1680256869591.01 | ended at: 1680256871861.961 | took: 2270.950927734375ms
coordinator_1  | 2023-03-31T10:01:11.863640+00:00.863 WARNING:  Worker: 4 | Completed snapshot: 14 | started at: 1680256869591.0164 | ended at: 1680256871862.051 | took: 2271.03466796875ms
coordinator_1  | 2023-03-31T10:01:11.967384+00:00.967 WARNING:  Worker: 1 | Completed snapshot: 14 | started at: 1680256869590.897 | ended at: 1680256871966.2432 | took: 2375.34619140625ms
coordinator_1  | 2023-03-31T10:01:15.377765+00:00.377 WARNING:  Worker: 3 | Completed snapshot: 15 | started at: 1680256873583.9705 | ended at: 1680256875376.4578 | took: 1792.4873046875ms
coordinator_1  | 2023-03-31T10:01:15.387902+00:00.387 WARNING:  Worker: 2 | Completed snapshot: 15 | started at: 1680256873583.9077 | ended at: 1680256875386.8413 | took: 1802.93359375ms
coordinator_1  | 2023-03-31T10:01:15.390457+00:00.390 WARNING:  Worker: 1 | Completed snapshot: 15 | started at: 1680256873583.9592 | ended at: 1680256875389.2893 | took: 1805.330078125ms
coordinator_1  | 2023-03-31T10:01:15.421736+00:00.421 WARNING:  Worker: 4 | Completed snapshot: 15 | started at: 1680256873583.9182 | ended at: 1680256875420.7341 | took: 1836.81591796875ms
coordinator_1  | 2023-03-31T10:01:33.199928+00:00.199 WARNING:  Worker: 3 | Completed snapshot: 16 | started at: 1680256891151.5808 | ended at: 1680256893198.4675 | took: 2046.88671875ms
